Year,P,Q,Max,Answer,Category,Sub-Category,Approach,Type,Notes
specimen,P1,1,F,D,Algebra,,,,
specimen,P1,2,G,D,Algebra,,Substitution,,
specimen,P1,3,E,B,Geometry,,,,
specimen,P1,4,E,E,Algebra,,Graph,,
specimen,P1,5,F,D,Exp & Log,,,,
specimen,P1,6,E,D,Algebra,,,,
specimen,P1,7,F,C,Probability,,,,
specimen,P1,8,H,F,Exp & Log,,,,
specimen,P1,9,D,A,Algebra,,,,
specimen,P1,10,D,D,Graph,Trigonometry,,,
specimen,P1,11,E,E,Algebra,,Substitution,,
specimen,P1,12,E,D,Geometry,,,,
specimen,P1,13,E,C,Algebra,,Graph,Number of Roots,
specimen,P1,14,E,D,Exp & Log,,,,
specimen,P1,15,E,A,Calculus,Algebra,,Stationary Point,
specimen,P1,16,H,E,Exp & Log,,,,
specimen,P1,17,E,D,Algebra,,,Number of Roots,
specimen,P1,18,G,B,Trigonometry,,Graph,,
specimen,P1,19,D,D,Sequence & Series,,,,
specimen,P1,20,G,G,Algebra,,,Binomial Expansion,
specimen,P2,1,F,A,Calculus,,,,
specimen,P2,2,D,B,Algebra,,,,
specimen,P2,3,F,D,Trigonometry,,,,
specimen,P2,4,E,C,N True,,,,
specimen,P2,5,E,C,Counterexample,,,Implication,
specimen,P2,6,H,C,Sequence & Series,,,,
specimen,P2,7,H,C,Steps of Proofs,Exp & Log,,,
specimen,P2,8,H,B,Algebra,,Graph,,
specimen,P2,9,H,D,Geometry,,,Implication,
specimen,P2,10,F,E,Necessary & Sufficient,,,,Increasing function.
specimen,P2,11,H,D,Algebra,Graph,,,
specimen,P2,12,F,F,Sequence & Series,,,,
specimen,P2,13,F,E,Steps of Proofs,,,Implication,
specimen,P2,14,E,B,Algebra,,Graph,,
specimen,P2,15,E,D,Algebra,,,Implication,
specimen,P2,16,E,C,Geometry,,,,
specimen,P2,17,H,H,Trigonometry,,Graph,,
specimen,P2,18,F,D,Counterexample,Calculus,,,
specimen,P2,19,G,F,Weird,,,,
specimen,P2,20,H,E,Weird,,,,
2016,P1,1,H,H,Algebra,,,Binomial Expansion,
2016,P1,2,F,E,Algebra,,,,
2016,P1,3,F,C,Graph,Calculus,,,
2016,P1,4,G,B,Sequence & Series,,,,
2016,P1,5,F,C,Calculus,Graph,,,
2016,P1,6,F,C,Algebra,,,,
2016,P1,7,E,B,Probability,,,,
2016,P1,8,H,F,Trigonometry,Algebra,,,
2016,P1,9,F,D,Geometry,,,,
2016,P1,10,G,E,Algebra,,Graph,Number of Roots,
2016,P1,11,F,E,Algebra,,Substitution,,
2016,P1,12,F,E,Geometry,Algebra,,,
2016,P1,13,E,C,Algebra,Calculus,Graph,Number of Roots,
2016,P1,14,F,D,Sequence & Series,,,,
2016,P1,15,E,C,Calculus,,,Stationary Point,
2016,P1,16,E,C,Exp & Log,Algebra,,,
2016,P1,17,F,D,Trigonometry,,Graph,,
2016,P1,18,F,A,Calculus,,,,
2016,P1,19,E,B,Algebra,,,Binomial Expansion,
2016,P1,20,E,D,Geometry,,,,
